ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,YEAR,COMPANY
Secret Identity,Data Unavailable,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,361,1941,DC
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,356,1941,DC
Public Identity,Neutral Characters,Red Eyes,Black Hair,Male Characters,Not Minority,Living Characters,353,1983,DC
Public Identity,Data Unavailable,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,350,1986,DC
Public Identity,Good Characters,Brown Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,345,1993,DC
Secret Identity,Good Characters,Brown Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,344,1977,DC
Secret Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,336,1980,DC
Secret Identity,Data Unavailable,Black Eyes,Black Hair,Male Characters,Not Minority,Living Characters,335,1952,DC
Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Not Minority,Living Characters,325,1982,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,321,1940,DC
Public Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,319,1959,DC
Public Identity,Data Unavailable,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,314,1963,DC
Public Identity,Neutral Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,311,1972,DC
Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,Not Minority,Living Characters,309,1983,DC
Public Identity,Good Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,309,1972,DC
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,Living Characters,308,1992,DC
Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,306,1942,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,305,1999,DC
Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Not Minority,Deceased Characters,301,1999,DC
Secret Identity,Data Unavailable,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,300,1997,DC
Public Identity,Good Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,299,1986,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,297,2004,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,291,1972,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,288,1940,DC
Secret Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,Not Minority,Living Characters,286,1966,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,284,1999,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,282,1940,DC
Secret Identity,Good Characters,Amber Eyes,Brown Hair,Female Characters,Not Minority,Living Characters,268,1981,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,268,1971,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Living Characters,266,1986,DC
Secret Identity,Good Characters,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Deceased Characters,262,1967,DC
Public Identity,Data Unavailable,Brown Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,261,1942,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,256,1938,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Deceased Characters,254,1986,DC
Public Identity,Data Unavailable,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,253,1941,DC
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Not Minority,Living Characters,252,1983,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,250,1963,DC
Secret Identity,Good Characters,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,245,1983,DC
Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,Not Minority,Living Characters,245,1983,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,241,1941,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,239,1941,DC
Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Not Minority,Deceased Characters,237,1971,DC
Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Male Characters,Not Minority,Living Characters,237,1961,DC
Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Not Minority,Living Characters,235,1999,DC
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,235,1987,DC
Public Identity,Good Characters,Data Unavailable,Black Hair,Female Characters,Not Minority,Deceased Characters,235,1961,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,234,1992,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,231,1987,DC
Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,229,1984,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,229,1965,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,229,1941,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,228,1992,DC
Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,227,1950,DC
Public Identity,Data Unavailable,Blue Eyes,Red Hair,Female Characters,Not Minority,Living Characters,226,1963,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Living Characters,225,1988,DC
Secret Identity,Data Unavailable,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,224,1960,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Not Minority,Living Characters,222,1986,DC
Public Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,222,1941,DC
Secret Identity,Data Unavailable,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,219,1957,DC
Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Not Minority,Living Characters,219,1940,DC
Public Identity,Neutral Characters,Black Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,218,1987,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,218,1961,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,216,1987,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Deceased Characters,216,1971,DC
Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Not Minority,Living Characters,214,1963,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Deceased Characters,214,1940,DC
Public Identity,Good Characters,Grey Eyes,Grey Hair,Male Characters,Not Minority,Living Characters,213,1937,DC
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,212,1985,DC
Public Identity,Good Characters,Data Unavailable,Brown Hair,Male Characters,Not Minority,Deceased Characters,212,1961,DC
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,Living Characters,208,1983,DC
Secret Identity,Good Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,207,1940,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,206,1988,DC
Public Identity,Good Characters,Data Unavailable,Black Hair,Male Characters,Not Minority,Living Characters,206,1942,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,199,1940,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,198,1992,DC
Secret Identity,Good Characters,Green Eyes,Red Hair,Male Characters,Not Minority,Living Characters,192,1992,DC
Public Identity,Good Characters,Hazel Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,191,1951,DC
Secret Identity,Data Unavailable,Black Eyes,Black Hair,Female Characters,Not Minority,Living Characters,189,1985,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,188,1968,DC
Public Identity,Data Unavailable,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,188,1943,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,184,1941,DC
Secret Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Not Minority,Living Characters,183,1940,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Living Characters,182,1973,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,181,1947,DC
Public Identity,Data Unavailable,Blue Eyes,Data Unavailable,Female Characters,Homosexual Characters,Living Characters,180,1987,DC
Public Identity,Bad Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,180,1983,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Deceased Characters,180,1975,DC
Public Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,Not Minority,Living Characters,179,1959,DC
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Not Minority,Deceased Characters,177,1971,DC
Public Identity,Data Unavailable,Blue Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,177,1958,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Living Characters,177,1941,DC
Secret Identity,Good Characters,Yellow Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,176,1984,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,176,1971,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,176,1960,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,175,1983,DC
Secret Identity,Good Characters,Red Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,175,1968,DC
Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,174,1994,DC
Public Identity,Data Unavailable,Brown Eyes,Black Hair,Female Characters,Not Minority,Living Characters,174,1989,DC
Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,Not Minority,Deceased Characters,174,1944,DC
Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,173,1988,DC
Public Identity,Good Characters,Yellow Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,173,1981,DC
Secret Identity,Good Characters,Red Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,171,1942,DC
Public Identity,Data Unavailable,Blue Eyes,Grey Hair,Female Characters,Not Minority,Living Characters,171,1940,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,170,1962,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Not Minority,Living Characters,168,1995,DC
Public Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,Not Minority,Deceased Characters,168,1961,DC
Public Identity,Data Unavailable,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,167,1971,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,166,1994,DC
Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Not Minority,Living Characters,166,1963,DC
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,165,2004,DC
Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Deceased Characters,165,1983,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,165,1962,DC
Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,164,2006,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Female Characters,Not Minority,Living Characters,164,1962,DC
Public Identity,Good Characters,Data Unavailable,Brown Hair,Male Characters,Not Minority,Living Characters,164,1942,DC
Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,164,1942,DC
Public Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,163,1964,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,163,1949,DC
Secret Identity,Data Unavailable,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,162,1940,DC
Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,161,1971,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,161,1962,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,161,1962,DC
Public Identity,Data Unavailable,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,161,1960,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Homosexual Characters,Living Characters,160,1959,DC
Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Not Minority,Living Characters,159,1986,DC
Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Living Characters,158,1992,DC
Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Living Characters,158,1971,DC
Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Living Characters,158,1961,DC
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,157,1993,DC
Secret Identity,Good Characters,White Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,155,1982,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,155,1962,DC
Data Unavailable,Good Characters,Data Unavailable,Red Hair,Male Characters,Not Minority,Deceased Characters,155,1937,DC
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,154,1966,DC
Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,153,1999,DC
Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,153,1975,DC
Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,152,1960,DC
Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,152,1945,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,151,1987,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,151,1942,DC
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Living Characters,148,1972,DC
Secret Identity,Good Characters,Photocellular Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,147,1962,DC
Secret Identity,Bad Characters,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,143,1959,DC
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Deceased Characters,142,1987,DC
Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,142,1962,DC
Public Identity,Good Characters,Data Unavailable,Black Hair,Male Characters,Not Minority,Living Characters,142,1957,DC
Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,Not Minority,Living Characters,141,1994,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,141,1958,DC
Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,140,1967,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,140,1964,DC
Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,139,1938,DC
Secret Identity,Good Characters,Brown Eyes,Grey Hair,Male Characters,Not Minority,Deceased Characters,138,1978,DC
Secret Identity,Data Unavailable,Blue Eyes,Strawberry Blond Hair,Male Characters,Not Minority,Living Characters,138,1971,DC
Public Identity,Data Unavailable,Data Unavailable,Data Unavailable,Male Characters,Not Minority,Living Characters,137,1942,DC
Data Unavailable,Good Characters,Data Unavailable,Red Hair,Male Characters,Not Minority,Living Characters,137,1941,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,136,1970,DC
Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,136,1960,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,134,1984,DC
Public Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Not Minority,Living Characters,134,1948,DC
Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Not Minority,Living Characters,133,1979,DC
Public Identity,Good Characters,Green Eyes,White Hair,Male Characters,Not Minority,Living Characters,132,1992,DC
Public Identity,Good Characters,Grey Eyes,White Hair,Male Characters,Not Minority,Deceased Characters,132,1971,DC
Public Identity,Data Unavailable,Brown Eyes,Data Unavailable,Female Characters,Not Minority,Living Characters,131,1987,DC
Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,131,1976,DC
Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,Not Minority,Living Characters,131,1963,DC
Public Identity,Data Unavailable,Blue Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,131,1963,DC
Public Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,131,1957,DC
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Living Characters,131,1957,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Deceased Characters,131,1947,DC
Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,130,1970,DC
Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,130,1964,DC
Data Unavailable,Good Characters,Black Eyes,White Hair,Male Characters,Not Minority,Living Characters,130,1941,DC
Public Identity,Good Characters,Data Unavailable,Black Hair,Female Characters,Not Minority,Deceased Characters,129,1964,DC
Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,129,1957,DC
Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Not Minority,Deceased Characters,128,1967,DC
Public Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,Not Minority,Living Characters,127,1987,DC
Public Identity,Good Characters,Data Unavailable,Black Hair,Male Characters,Not Minority,Living Characters,127,1942,DC
Public Identity,Good Characters,Photocellular Eyes,Black Hair,Male Characters,Not Minority,Deceased Characters,126,1989,DC
Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Male Characters,Not Minority,Living Characters,126,1987,DC
Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Male Characters,Not Minority,Living Characters,126,1942,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,125,1995,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Not Minority,Living Characters,125,1989,DC
Secret Identity,Data Unavailable,Grey Eyes,Black Hair,Male Characters,Not Minority,Living Characters,125,1935,DC
Public Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,Not Minority,Deceased Characters,124,1989,DC
Secret Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Living Characters,124,1988,DC
Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,Not Minority,Deceased Characters,124,1940,DC
Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,123,1996,DC
Public Identity,Good Characters,Green Eyes,Data Unavailable,Male Characters,Not Minority,Living Characters,123,1971,DC
Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Not Minority,Deceased Characters,123,1959,DC
Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Living Characters,122,1996,DC
Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Not Minority,Living Characters,122,1994,DC
Public Identity,Good Characters,Data Unavailable,Data Unavailable,Male Characters,Not Minority,Living Characters,122,1986,DC
Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Not Minority,Living Characters,121,1978,DC
Secret Identity,Good Characters,Data Unavailable,Data Unavailable,Data Unavailable,Not Minority,Living Characters,121,1964,DC
Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,Not Minority,Deceased Characters,121,1959,DC
Secret Identity,Data Unavailable,Blue Eyes,Blond Hair,Female Characters,Not Minority,Living Characters,120,1942,DC
Public Identity,Neutral Characters,Grey Eyes,Brown Hair,Female Characters,Not Minority,Living Characters,118,1958,DC
Secret Identity,Good Characters,Brown Eyes,Data Unavailable,Male Characters,Not Minority,Deceased Characters,116,2000,DC
Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Not Minority,Living Characters,116,1989,DC
Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Not Minority,Deceased Characters,116,1981,DC
Public Identity,Good Characters,White Eyes,Data Unavailable,Female Characters,Not Minority,Living Characters,115,1989,DC
Public Identity,Bad Characters,Blue Eyes,White Hair,Female Characters,Not Minority,Deceased Characters,115,1971,DC
Data Unavailable,Good Characters,Blue Eyes,Silver Hair,Female Characters,Not Minority,Deceased Characters,115,1968,DC
Public Identity,Neutral Characters,Blue Eyes,White Hair,Male Characters,Not Minority,Living Characters,115,1941,DC
Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Homosexual Characters,Living Characters,114,1987,DC
Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Not Minority,Deceased Characters,113,1987,DC
Public Identity,Bad Characters,Red Eyes,Green Hair,Male Characters,Not Minority,Living Characters,113,1962,DC
